,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
30,0.0,1071.96187288,0.0,0.0,0.0,1.0,0.0,0.0,8.0,15.7824047804,8.0,8.0,8.0,30.0,8.0,8.0,0.0,3.67501676175,0.0,0.0,0.0,0.0,0.0,17.9905588739
31,0.0,1069.939449,0.0,0.0,0.0,1.0,0.0,0.0,9.0,16.7824047804,9.0,9.0,9.0,31.0,9.0,9.0,0.0,3.82655195962,0.0,0.0,0.0,0.0,0.0,18.2010278506
32,0.0,1067.82788298,0.0,0.0,0.0,1.0,0.0,0.0,10.0,17.7824047804,10.0,10.0,10.0,32.0,10.0,10.0,0.0,3.97734513416,0.0,0.0,0.0,0.0,0.0,18.4133751502
33,0.0,1065.62676865,0.0,0.0,0.0,1.0,0.0,0.0,11.0,18.7824047804,11.0,11.0,11.0,33.0,11.0,11.0,0.0,4.12730929705,0.0,0.0,0.0,0.0,0.0,18.6266982589
34,0.0,1063.3357869,0.0,0.0,0.0,1.0,0.0,0.0,12.0,19.7824047804,12.0,12.0,12.0,34.0,12.0,12.0,0.0,4.27636611758,0.0,0.0,0.0,0.0,0.0,18.8401869968
35,0.0,1060.95470511,0.0,0.0,0.0,1.0,0.0,0.0,13.0,20.7824047804,13.0,13.0,13.0,35.0,13.0,13.0,0.0,4.42444522226,0.0,0.0,0.0,0.0,0.0,19.0531177873
36,0.0,1058.48337651,0.0,0.0,0.0,1.0,0.0,0.0,14.0,21.7824047804,14.0,14.0,14.0,36.0,14.0,14.0,0.0,4.57148355353,0.0,0.0,0.0,0.0,0.0,19.2648477325
37,0.0,1055.92173954,0.0,0.0,0.0,1.0,0.0,0.0,15.0,22.7824047804,15.0,15.0,15.0,37.0,15.0,15.0,0.0,4.71742478185,0.0,0.0,0.0,0.0,0.0,19.4748086709
38,0.0,1053.26981708,0.0,0.0,0.0,1.0,0.0,0.0,16.0,23.7824047804,16.0,16.0,16.0,38.0,16.0,16.0,0.0,4.86221876603,0.0,0.0,0.0,0.0,0.0,19.6825013413
39,0.0,1050.52771566,0.0,0.0,0.0,1.0,0.0,0.0,17.0,24.7824047804,17.0,17.0,17.0,39.0,17.0,17.0,0.0,5.00582105734,0.0,0.0,0.0,0.0,0.0,19.887489741
40,0.0,1047.69562457,0.0,0.0,0.0,1.0,0.0,0.0,18.0,25.7824047804,18.0,18.0,18.0,40.0,18.0,18.0,0.0,5.14819244349,0.0,0.0,0.0,0.0,0.0,20.0893957368
41,0.0,1044.77381486,0.0,0.0,0.0,1.0,0.0,0.0,19.0,26.7824047804,19.0,19.0,19.0,41.0,19.0,19.0,0.0,5.28929852884,0.0,0.0,0.0,0.0,0.0,20.2878939646
42,0.0,1041.76263832,0.0,0.0,0.0,1.0,0.0,0.0,20.0,27.7824047804,20.0,20.0,20.0,42.0,20.0,20.0,0.0,5.42910934775,0.0,0.0,0.0,0.0,0.0,20.4827070395
43,0.0,1038.66252631,0.0,0.0,0.0,1.0,0.0,0.0,21.0,28.7824047804,21.0,21.0,21.0,43.0,21.0,21.0,0.0,5.56759900821,0.0,0.0,0.0,0.0,0.0,20.6736010833
44,0.0,1035.47398855,0.0,0.0,0.0,1.0,0.0,0.0,22.0,29.7824047804,22.0,22.0,22.0,44.0,22.0,22.0,0.0,5.70474536314,0.0,0.0,0.0,0.0,0.0,20.8603815707
45,0.0,1032.19761176,0.0,0.0,0.0,1.0,0.0,0.0,23.0,30.7824047804,23.0,23.0,23.0,45.0,23.0,23.0,0.0,5.84052970718,0.0,0.0,0.0,0.0,0.0,21.0428894848
46,0.0,1028.83405828,0.0,0.0,0.0,1.0,0.0,0.0,24.0,31.7824047804,24.0,24.0,24.0,46.0,24.0,24.0,0.0,5.97493649672,0.0,0.0,0.0,0.0,0.0,21.2209977744
47,0.0,1025.38406456,0.0,0.0,0.0,1.0,0.0,0.0,25.0,32.7824047804,25.0,25.0,25.0,47.0,25.0,25.0,0.0,6.10795309139,0.0,0.0,0.0,0.0,0.0,21.3946080954
48,0.0,1021.84843957,0.0,0.0,0.0,1.0,0.0,0.0,26.0,33.7824047804,26.0,26.0,26.0,48.0,26.0,26.0,0.0,6.23956951527,0.0,0.0,0.0,0.0,0.0,21.5636478241
49,0.0,1018.22806311,0.0,0.0,0.0,1.0,0.0,0.0,27.0,34.7824047804,27.0,27.0,27.0,49.0,27.0,27.0,0.0,6.36977823625,0.0,0.0,0.0,0.0,0.0,21.7280673236
50,0.0,1014.52388405,0.0,0.0,0.0,1.0,0.0,0.0,28.0,35.7824047804,28.0,28.0,28.0,50.0,28.0,28.0,0.0,6.49857396203,0.0,0.0,0.0,0.0,0.0,21.8878374468
